problem_id,tier,source,model,model_name,sample_idx,passed,failure_type,error_type,error_message,syntax_valid,timed_out,standard_passed,standard_total,boundary_passed,boundary_total,adversarial_passed,adversarial_total
easy_001,Easy,original,gpt35,GPT-3.5-Turbo,0,True,Pass,,None,True,False,3,3,2,2,2,2
easy_001,Easy,original,gpt35,GPT-3.5-Turbo,1,True,Pass,,None,True,False,3,3,2,2,2,2
easy_001,Easy,original,gpt35,GPT-3.5-Turbo,2,False,Syntactic,SyntaxError,"SyntaxError: '(' was never closed (<solution>, line 1)",False,False,0,3,0,2,0,2
easy_002,Easy,original,gpt35,GPT-3.5-Turbo,0,True,Pass,,None,True,False,3,3,2,2,2,2
easy_002,Easy,original,gpt35,GPT-3.5-Turbo,1,True,Pass,,None,True,False,3,3,2,2,2,2
easy_002,Easy,original,gpt35,GPT-3.5-Turbo,2,True,Pass,,None,True,False,3,3,2,2,2,2
easy_003,Easy,HumanEval-adapted,gpt35,GPT-3.5-Turbo,0,False,Algorithmic,,None,True,False,0,3,0,2,0,2
easy_003,Easy,HumanEval-adapted,gpt35,GPT-3.5-Turbo,1,True,Pass,,None,True,False,3,3,2,2,2,2
easy_003,Easy,HumanEval-adapted,gpt35,GPT-3.5-Turbo,2,True,Pass,,None,True,False,3,3,2,2,2,2
easy_004,Easy,original,gpt35,GPT-3.5-Turbo,0,True,Pass,,None,True,False,3,3,2,2,2,2
easy_004,Easy,original,gpt35,GPT-3.5-Turbo,1,True,Pass,,None,True,False,3,3,2,2,2,2
easy_004,Easy,original,gpt35,GPT-3.5-Turbo,2,True,Pass,,None,True,False,3,3,2,2,2,2
easy_005,Easy,MBPP-adapted,gpt35,GPT-3.5-Turbo,0,True,Pass,,None,True,False,3,3,2,2,2,2
easy_005,Easy,MBPP-adapted,gpt35,GPT-3.5-Turbo,1,True,Pass,,None,True,False,3,3,2,2,2,2
easy_005,Easy,MBPP-adapted,gpt35,GPT-3.5-Turbo,2,True,Pass,,None,True,False,3,3,2,2,2,2
easy_006,Easy,original,gpt35,GPT-3.5-Turbo,0,True,Pass,,None,True,False,3,3,2,2,2,2
easy_006,Easy,original,gpt35,GPT-3.5-Turbo,1,True,Pass,,None,True,False,3,3,2,2,2,2
easy_006,Easy,original,gpt35,GPT-3.5-Turbo,2,True,Pass,,None,True,False,3,3,2,2,2,2
